lease_id,status,landlord,tenant,site,state,announce_date,it_mw,it_mw_evidence,gross_mw,gross_mw_evidence,term_years,term_evidence,contract_value_musd,contract_value_evidence,avg_annual_revenue_musd,annual_revenue_evidence,power_paid_by,power_evidence,fitout_paid_by,fitout_evidence,credit_support,credit_support_evidence,rfs_date,rfs_evidence,doc_id,url,notes,reason_code,deal_key,site_evidence,state_evidence,mw_unstated,mw_unstated_evidence,signed_date,signed_evidence,n_leases,credit_type,first_rfs,first_rfs_evidence
P045,EXCLUDED,TERAWULF INC.,,,,2024-03-19,,,,,,,71.3,"Cost of operations for the year ended December 31, 2023 totaled $71.3 million, as compared to $47.7 million for the year ended December 31, 2022",,,,,,"Company Contact: Jason Assad Director of Corporate Communications assad@terawulf.com (678) 570-6791 CONSOLIDATED BALANCE SHEETS AS OF December 31, 2023 AND 2022 (In thousands, except number of shares, per share amounts and par value) December 31, 2023 December 31, 2022 ASSETS CURRENT ASSETS: Cash and cash equivalents $ 54,439 $ 1,279 Restricted cash — 7,044 Digital currency, net 1,801 183 Prepaid ",,,,,L000108330124000066_exhibit991-earningsrelea,https://www.sec.gov/Archives/edgar/data/1083301/000108330124000066/exhibit991-earningsrelea.htm,REJECTED: TeraWulf results or investor deck. No specific lease. | reduce_panel: REJECTED -> EXCLUDED (not_a_lease),not_a_lease,,,,,,,,,,,
P046,EXCLUDED,TERAWULF INC.,,,,2024-03-19,,,,,,,,,20.0,Substantial Debt Repayment 9  Approximately $139 million of debt and $54 million of cash at year-end 2023  Principal repayments in Q1 2024 reduced debt further to $106 million  Company plans additional repayment of approx. $30 million in early Q2 2024  Excess liquidity of ~$20 million can be applied towards additional prepayment  $4.6 million of annual interest savings from debt repaid from Q,,"(3) 2024 pre-halving bitcoin mined based on actual results for January and February 2024 and estimated results for March 2024 and for the period April 1, 2024 to April 20, 2024 based on “Illustrative Market Inputs” and “Illustrative Operating Inputs” above (4) 2024 pre-halving Lake Mariner power cost reflects estimated power costs of $0.053/kWh for January 2024, $0.037/kWh for February 2024, $0.03",,,,,,,L000108330124000066_exhibit992-wulfmarch24in,https://www.sec.gov/Archives/edgar/data/1083301/000108330124000066/exhibit992-wulfmarch24in.htm,REJECTED: TeraWulf results or investor deck. No specific lease. | reduce_panel: REJECTED -> EXCLUDED (not_a_lease),not_a_lease,,,,,,,,,,,
P047,EXCLUDED,TERAWULF INC.,Hyperscaler,,,2024-05-13,,,,,,,,,20.0,"(4) Includes distributions from Nautilus. ➢Record BTC production of 1,051 in Q1 2024, despite ~16% increase in network hash rate quarter-over-quarter ➢62% increase in Gross Profit and 95% increase in Adjusted EBITDA quarter-over-quarter ➢Operating hash rate expansion in Q4 2023 and phase-out of hosting operations in Q1 2024 contributed to significant increase in gross margin ➢ Implies average EBIT",,(3) Does not include customer pass-through energy expense,,,,,,,L000108330124000102_wulfinvestorpresentation,https://www.sec.gov/Archives/edgar/data/1083301/000108330124000102/wulfinvestorpresentation.htm,REJECTED: TeraWulf results or investor deck. No specific lease. | reduce_panel: REJECTED -> EXCLUDED (not_a_lease),not_a_lease,,,,,,,,,,,
P048,EXCLUDED,TERAWULF INC.,,,,2024-07-03,16.0,"TeraWulf is also designing a 20 MW colocation pilot project at the Lake Mariner site capable of supporting 16 MW of critical IT load with liquid cooling and redundancy requirements typical of a Tier 3 data center, with a target completion date in Q4 2024",,,,,,,,,,"• Demand Response: The Lake Mariner facility curtailed over 2,300 MWh in connection with demand response activities in June, which is expected to reduce power costs by approximately $0.010/kWh in the month",,,,,,"Construction has commenced on Building 5, which will add an additional 50 MW of infrastructure capacity",L000108330124000110_wulfopsreportjun24,https://www.sec.gov/Archives/edgar/data/1083301/000108330124000110/wulfopsreportjun24.htm,REJECTED: TeraWulf operations report. CB-1 pilot (16 MW IT) with no tenant. | reduce_panel: REJECTED -> EXCLUDED (not_a_lease),not_a_lease,,,,,,,,,,,
P049,EXCLUDED,TERAWULF INC.,,,,2024-08-05,16.0,"All figures except Bitcoin Self-Mined are estimates and remain subject to standard month-end adjustments. 2 Computed as the weighted-average opening price of bitcoin on each respective day the Bitcoin Self-Mined is earned. 3 While nameplate inventory as of July 31, 2024 for WULF’s two facilities is estimated at 10.0 EH/s, actual monthly hash rate performance depends on a variety of factors, includ",,,,,,,,,,"• Demand Response: The Lake Mariner facility curtailed over 3,400 MWh in connection with demand response activities in July, which is expected to reduce power costs by approximately $0.013/kWh in the month",,,,,,,L000108330124000115_wulfjuly2024opsreport08-,https://www.sec.gov/Archives/edgar/data/1083301/000108330124000115/wulfjuly2024opsreport08-.htm,REJECTED: TeraWulf operations report. CB-1 build (16 MW IT) with no tenant. | reduce_panel: REJECTED -> EXCLUDED (not_a_lease),not_a_lease,,,,,,,,,,,
P050,EXCLUDED,TERAWULF INC.,NVIDIA,,,2024-08-12,,,,,,,46.1,• Total value of bitcoin self-mined1 of $46.1 million in Q2 2024 compared to $24.9 million in Q2 2023,,,,"During the quarter, we maintained our focus on cost management, achieving quarter-over-quarter reductions in power costs at Lake Mariner and SG&A expenses",,"CONSOLIDATED BALANCE SHEETS AS OF JUNE 30, 2024 AND DECEMBER 31, 2023 (In thousands, except number of shares and par value) June 30, 2024 December 31, 2023 (unaudited) ASSETS CURRENT ASSETS: Cash and cash equivalents $ 104,109 $ 54,439 Digital currency 946 1,801 Prepaid expenses 2,850 4,540 Other receivables 2,554 1,001 Other current assets 505 806 Total current assets 110,964 62,587 Equity in net",,,,"Patrick Fleury, TeraWulf’s CFO added, “In the second quarter of 2024, TeraWulf delivered solid financial performance, even in a challenging fundamental business environment following the Bitcoin reward halving in April, mining a total of 699 bitcoin across our facilities",L000108330124000122_ex991-earningsreleasexq2,https://www.sec.gov/Archives/edgar/data/1083301/000108330124000122/ex991-earningsreleasexq2.htm,REJECTED: TeraWulf results or investor deck. No specific lease. (P053 ground lease has TeraWulf as tenant.) | reduce_panel: REJECTED -> EXCLUDED (not_a_lease),not_a_lease,,,,,,,,,,,
P051,EXCLUDED,TERAWULF INC.,Hyperscaler,,,2024-08-12,,,20.0,"(3) Reflects TeraWulf’s 30% equity contribution for construction of CB-1, a liquid-cooled, redundant, and high-power density 20 MW (gross) HPC/AI infrastructure expected to be substantially complete by year-end",,,260.0,"(3) Includes conversion of ~$260 million of convertible notes for a total of 44.6 million common shares. $2.4 $2.3 $1.9 $0.6 $0.1 WULF CORZ CLSK MARA RIOT < -- -- -- -- -- -- -- -- -( $ i n m il li o n s )- -- -- -- -- -- -- -- -- -> NOT GOOD “It’s not the size of the dog in the fight, it’s the size of the fight in the dog.” ~Mark Twain GOOD 61% 57% 48%2 35% 23% 65%1 WULF CLSK CORZ MARA RIOT . . .",77.0,Cash on BS E2Q24 ATM Proceeds 3Q24 Warrants 3Q24 Estimated 2H24 Cash From Operations Debt Repayment WULF Den LMD Site Electrical Building 5 Construction Cash Surplus (2) (3) (4) CB-1: WULF Compute 20MW $5 (1)(1) ➢ $77 million of debt eliminated in July 2024 ▪ $9 million annual interest savings,,(3) Does not include customer pass-through energy expense,,,,,,WULF Compute’s Core Business . . . 16 ➢ WULF Den: 2 /2.5 MW (1) capacity (2) expected to be energized in September 2024 ➢ CB-1: 16/20 MW (1) capacity expected to be energized by YE24 (2) ➢ CB-2: 42 /50 MW (1)(2) expected to be energized in 1H25 ➢ Additional 166 /200 MW (1) capacity expected to be available 2H25 (2) ➢ Additional future capacity design and timeline subject to ongoing customer conver,L000108330124000122_ex992-wulfq22024investor,https://www.sec.gov/Archives/edgar/data/1083301/000108330124000122/ex992-wulfq22024investor.htm,REJECTED: TeraWulf results or investor deck. No specific lease. (P053 ground lease has TeraWulf as tenant.) | reduce_panel: REJECTED -> EXCLUDED (not_a_lease),not_a_lease,,,,,,,,,,,
P052,EXCLUDED,TERAWULF INC.,,,,2024-10-04,16.0,"Furthermore, TeraWulf is constructing CB-1, a 20 MW colocation building engineered to support 16 MW of critical IT load with liquid cooling and redundancy features typical of a Tier 3 data center (e.g., N+1 redundant cooling systems, variable speed fans, chilled water systems, dual power supply and redundant fiber network paths)",2.5,"This includes the recent completion of a 2.5 MW (gross) HPC/AI digital infrastructure proof-of-concept project, designed to support both current and next-generation GPU technology",,,92.0,"Recent Strategic Development On October 3, 2024, TeraWulf announced the closing of the sale of its 25% equity interest in the Nautilus facility for total consideration of approximately $92 million",,,,,,,,,,,L000108330124000132_wulfopsreportsep2410-03x,https://www.sec.gov/Archives/edgar/data/1083301/000108330124000132/wulfopsreportsep2410-03x.htm,REJECTED: TeraWulf operations report. CB-1 build (16 MW IT) with no tenant. | reduce_panel: REJECTED -> EXCLUDED (not_a_lease),not_a_lease,,,,,,,,,,,
P053,EXCLUDED,TERAWULF INC.,,,,2024-11-12,,,,,,,33.9,• Total value of bitcoin self-mined1 of $33.9 million in Q3 2024 compared to $27.6 million in Q3 2023,,,,,,"unaudited) September 30, 2024 December 31, 2023 ASSETS CURRENT ASSETS: Cash and cash equivalents $ 23,938 $ 54,439 Digital currency 297 1,801 Prepaid expenses 3,091 4,540 Other receivables 4,383 1,001 Other current assets 706 806 Total current assets 32,415 62,587 Equity in net assets of investee 79,494 98,613 Property, plant and equipment, net 283,098 205,284 Right-of-use asset 10,188 10,943 Othe",,,,"Management Commentary “The third quarter and the beginning of the fourth quarter marked a pivotal turning point for TeraWulf, as we delivered strong results across our strategic, financial, and operational objectives,” said Paul Prager, Chairman and CEO of TeraWulf. “The sale of our interest in the Nautilus joint venture not only generated a substantial return but also sharpened our focus on scali",L000108330124000145_aex991xearningsreleasexq,https://www.sec.gov/Archives/edgar/data/1083301/000108330124000145/aex991xearningsreleasexq.htm,REJECTED: TeraWulf results or investor deck. No specific lease. (P053 ground lease has TeraWulf as tenant.) | reduce_panel: REJECTED -> EXCLUDED (not_a_lease),not_a_lease,,,,,,,,,,,
P054,EXCLUDED,TERAWULF INC.,Hyperscaler,,,2024-11-12,,,,,,,92.0,"Free Cash Flow (thru Sep 24) $42.0 Total $39.5 $134.0 3.4x ~$92 Million Transaction Proceeds (1) ~$36k / BTC Pro Forma Cost-to-Mine (3) 3.4x Multiple on Invested Capital (2) 18.2 J/TH Pro Forma Miner Efficiency (1) Sale proceeds comprised of $85 million cash consideration, the return of $1.3 million of working capital, and approximately $7 million worth of Cumulus Coin miners and related equipment",13.5,(4) Q3 2024 includes Nautilus OpEx; Other Operating Expenses were expected to be ~$13.5 million annually split ~50/50 between the Lake Mariner facility and the Nautilus JV,,(3) Does not include customer pass-through energy expense,,,,,,,L000108330124000145_wulfq32024investorpres11,https://www.sec.gov/Archives/edgar/data/1083301/000108330124000145/wulfq32024investorpres11.htm,REJECTED: TeraWulf results or investor deck. No specific lease. (P053 ground lease has TeraWulf as tenant.) | reduce_panel: REJECTED -> EXCLUDED (not_a_lease),not_a_lease,,,,,,,,,,,
P055,EXCLUDED,TERAWULF INC.,Core42,Lake Mariner,NY,2025-01-03,,,70.0,"EX-99.1 2 wulfopsreport-202412dec2.htm EX-99.1 wulfopsreport-202412dec2 TeraWulf Announces December 2024 Production and Operations Update Secured high-performance computing (HPC) data center leases with Core42 for more than 70 MW of digital infrastructure, representing total revenue of more than $1 billion over initial 10-year term Earned 158 self-mined bitcoin in December for a total of 2,728 bitcoin year-to-date and 423 in Q4 2024 Achieved 9.7 EH/s of installed self-mining capacity, a 94% year-over-year increase EASTON, Md. – January 3, 2025 – TeraWulf Inc",10.0,"Operating Hash Rate (EH/s)3 8.4 5.9 Nameplate Miner Efficiency (J/TH)4 19.2 19.2 Management Commentary “In December, we finalized data center lease agreements totaling over 70 MW of our infrastructure, representing a potential revenue opportunity exceeding $1 billion over the initial 10-year terms,"" said Paul Prager, TeraWulf’s Chief Executive Officer. ""These agreements are a significant milestone for TeraWulf, not only representing our entry into HPC hosting but also demonstrating the immense value of our sustainable and scalable digital infrastructure.” 1 All figures except Bitcoin Self-Mined are estimates and remain subject to standard month-end adjustments. 2 Computed as the weighted-average opening price of bitcoin on each respective day the Bitcoin Self-Mined is earned. 3 While nameplate mining inventory as of December 31, 2024 for Lake Mariner is estimated at 9.7 EH/s, actual monthly hash rate performance depends on a variety of factors, including (but not limited to) performance tuning to increase efficiency and maximize margin, scheduled outages (scopes to improve reliability or performance), unscheduled outages, curtailment due to participation in various cash generating demand response programs, derate of ASICs due to adverse weather and ASIC maintenance and repair",1000.0,"Operating Hash Rate (EH/s)3 8.4 5.9 Nameplate Miner Efficiency (J/TH)4 19.2 19.2 Management Commentary “In December, we finalized data center lease agreements totaling over 70 MW of our infrastructure, representing a potential revenue opportunity exceeding $1 billion over the initial 10-year terms,"" said Paul Prager, TeraWulf’s Chief Executive Officer. ""These agreements are a significant milestone for TeraWulf, not only representing our entry into HPC hosting but also demonstrating the immense value of our sustainable and scalable digital infrastructure.” 1 All figures except Bitcoin Self-Mined are estimates and remain subject to standard month-end adjustments. 2 Computed as the weighted-average opening price of bitcoin on each respective day the Bitcoin Self-Mined is earned. 3 While nameplate mining inventory as of December 31, 2024 for Lake Mariner is estimated at 9.7 EH/s, actual monthly hash rate performance depends on a variety of factors, including (but not limited to) performance tuning to increase efficiency and maximize margin, scheduled outages (scopes to improve reliability or performance), unscheduled outages, curtailment due to participation in various cash generating demand response programs, derate of ASICs due to adverse weather and ASIC maintenance and repair",,,,,,,,,,,L000108330125000004_wulfopsreport-202412dec2,https://www.sec.gov/Archives/edgar/data/1083301/000108330125000004/wulfopsreport-202412dec2.htm,"CONFIRM: Periodic report. Restates Core42 lease (P017/P018). Possible duplicate. ""More than 70 MW"", basis not stated; put in gross_mw. $1B is a ""potential revenue opportunity"". | Changes: gross_mw filled 70; tenant (empty)->Core42 | Filled from candidates: site, state | reduce_panel: REQUIRES HUMAN CONFIRMATION -> EXCLUDED (duplicate)",duplicate,,,,,,,,,,,
P056,EXCLUDED,TERAWULF INC.,Core42,Lake Mariner,,2025-02-28,,,72.5,"A pivotal milestone in this expansion was achieved on December 23, 2024, when TeraWulf signed long-term data center lease agreements with Core42, securing 72.5 MW of hosting capacity at Lake Mariner for GPU cloud compute workloads",10.0,Announced strategic expansion into AI-driven HPC hosting with long-term data center leases expected to generate $1 billion in cumulative revenue over initial 10-year contract terms,1000.0,Announced strategic expansion into AI-driven HPC hosting with long-term data center leases expected to generate $1 billion in cumulative revenue over initial 10-year contract terms,,,,,,,,,,,L000108330125000013_a_wulfformearningsrelease2,https://www.sec.gov/Archives/edgar/data/1083301/000108330125000013/a_wulfformearningsrelease2.htm,CONFIRM: Periodic report. Restates Core42 lease (P017/P018). Possible duplicate. | Changes: gross_mw filled 72.5; contract_value_musd filled 1000; tenant (empty)->Core42 | Filled from candidates: site | reduce_panel: REQUIRES HUMAN CONFIRMATION -> EXCLUDED (duplicate),duplicate,,,,,,,,,,,
P057,EXCLUDED,TERAWULF INC.,Core42,,,2025-05-09,,,72.5,EX-99.1 2 a_wulfformearningsreleas.htm EX-99.1 a_wulfformearningsreleas TeraWulf Reports First Quarter 2025 Results Commenced buildout of dedicated HPC data halls and remain on track to deliver 72.5 MW of gross HPC hosting infrastructure to Core42 in 2025,,,,,,,,,,,,,2025 (expected),EX-99.1 2 a_wulfformearningsreleas.htm EX-99.1 a_wulfformearningsreleas TeraWulf Reports First Quarter 2025 Results Commenced buildout of dedicated HPC data halls and remain on track to deliver 72.5 MW of gross HPC hosting infrastructure to Core42 in 2025,L000108330125000033_a_wulfformearningsreleas,https://www.sec.gov/Archives/edgar/data/1083301/000108330125000033/a_wulfformearningsreleas.htm,CONFIRM: Periodic report. Restates Core42 lease. Possible duplicate. contract_value 34.4 was quarterly revenue; cleared. | Changes: contract_value_musd 34.4 cleared; tenant (empty)->Core42 | Filled from candidates: rfs_date | reduce_panel: REQUIRES HUMAN CONFIRMATION -> EXCLUDED (duplicate),duplicate,,,,,,,,,,,
P058,EXCLUDED,TERAWULF INC.,Core42,,,2025-05-09,,,72.5,"AI leadership • Mar 18, 2025: Core42 announced a significant agreement with Microsoft and Abu Dhabi Department of Government Enablement to implement a sovereign cloud system • Dec 23, 2024: Core42 announced execution of 72.5 MW’s of long-term data center leases with TeraWulf • Oct 16, 2024: Core42 announced the global launch of its Inference-as-a-Service offering, powered by Qualcomm Technologies • Oct 15, 2024: Core42 signed a strategic collaboration with AMD to trial AI, Machine Learning and explore confidential compute • Oct 9, 2024: Core42 announced an expansion of its Next-Generation AI Cloud offering by deploying NVIDIA H100 Tensor Core GPUs in the UAE Credit Ratings (1): (S&P: AAA / Moody’s: Aaa)",,,,,,,,,,,,,,,L000108330125000033_wulfq12025investorpresvf,https://www.sec.gov/Archives/edgar/data/1083301/000108330125000033/wulfq12025investorpresvf.htm,"CONFIRM: Investor deck. Restates Core42 lease. Possible duplicate. Tenant Microsoft was wrong. it 15, gross 225, term 10, value 1085, annual 1.6 not supported for this lease; cleared. | Changes: it_mw 15 cleared; gross_mw 225->72.5; term_years 10 cleared; contract_value_musd 1085 cleared; avg_annual_revenue_musd 1.6 cleared; tenant Microsoft->Core42 | reduce_panel: REQUIRES HUMAN CONFIRMATION -> EXCLUDED (duplicate)",duplicate,,,,,,,,,,,
P059,EXCLUDED,TERAWULF INC.,Fluidstack,Lake Mariner,,2025-11-10,,,450.0,"In August, Akela executed three ten-year Fluidstack leases, backed by Google, providing 450 MW of capacity and approximately $6.7 billion in contracted revenue",10.0,"In August, Akela executed three ten-year Fluidstack leases, backed by Google, providing 450 MW of capacity and approximately $6.7 billion in contracted revenue",6700.0,"In August, Akela executed three ten-year Fluidstack leases, backed by Google, providing 450 MW of capacity and approximately $6.7 billion in contracted revenue",,,,,,,Google credit enhancement $3.2B,"• Executed three ten-year Fluidstack leases at Lake Mariner totaling approximately $6.7 billion in contracted lease payments, backed by a $3.2 billion Google credit enhancement",2026 phased (expected),"These leases, scheduled to be delivered in phases through 2026, are financed and benefit from Google credit enhancement, creating durable, infrastructure-style cash flows",L000108330125000096_a_wulfformearningsreleaseq,https://www.sec.gov/Archives/edgar/data/1083301/000108330125000096/a_wulfformearningsreleaseq.htm,"CONFIRM: Periodic report. Three Fluidstack leases (CB-3/4/5) combined. 450 MW basis not stated (P077 says >360 MW IT). it_mw 500 was an annual signing target and value 17000 an all-contracts total; corrected. | Changes: it_mw 500 cleared; gross_mw filled 450; contract_value_musd 17000->6700 | Filled from candidates: site, credit_support, rfs_date | reduce_panel: REQUIRES HUMAN CONFIRMATION -> CONFIRM (split_or_aggregate) | decision: CONFIRM -> EXCLUDED (duplicate): Aggregate of CB-3/4/5 (P074 and P076).",duplicate,WULF-FLUIDSTACK-CB3-4,,,,,,,,,,
P060,EXCLUDED,TERAWULF INC.,Fluidstack,,,2025-11-10,130.0,"Geom Slide Title – 28 Franklin Gothic Med Header – 14 Franklin Gothic Book Content Text – 14 Franklin Gothic Book Chart Content – 10 RGB 33 – 40 – 64 20 – 135 – 211 129 – 200 – 255 205 – 217 – 225 74 – 88 – 135 Outline: black, ½ pt. 255 – 177 – 0 WULF: The Power of Infrastructure ✓ 60 MW contracted to Core42 (online 2025/2026) ✓ 366 MW contracted to Fluidstack (expected online 2026) ✓ 168 MW Abern",1390.0,"Geom Slide Title – 28 Franklin Gothic Med Header – 14 Franklin Gothic Book Content Text – 14 Franklin Gothic Book Chart Content – 10 RGB 33 – 40 – 64 20 – 135 – 211 129 – 200 – 255 205 – 217 – 225 74 – 88 – 135 Outline: black, ½ pt. 255 – 177 – 0 60.0 60.0 60.0 366 366 366 366 168 168 168 168 500 750250 500 750 0 500 1,000 1,500 2,000 2,500 2025 2026 2027 2028 Core42 Fluidstack Abernathy Future De",25.0,"Geom Slide Title – 28 Franklin Gothic Med Header – 14 Franklin Gothic Book Content Text – 14 Franklin Gothic Book Chart Content – 10 RGB 33 – 40 – 64 20 – 135 – 211 129 – 200 – 255 205 – 217 – 225 74 – 88 – 135 Outline: black, ½ pt. 255 – 177 – 0 5 2025 Highlights: Disciplined Growth & Consistent Execution ✓ WULF Den generating revenue (July 2025) ✓ CB-1 generating revenue (August 2025) ✓ CB-2 ant",16200.0,"Geom Slide Title – 28 Franklin Gothic Med Header – 14 Franklin Gothic Book Content Text – 14 Franklin Gothic Book Chart Content – 10 RGB 33 – 40 – 64 20 – 135 – 211 129 – 200 – 255 205 – 217 – 225 74 – 88 – 135 Outline: black, ½ pt. 255 – 177 – 0 5 2025 Highlights: Disciplined Growth & Consistent Execution ✓ WULF Den generating revenue (July 2025) ✓ CB-1 generating revenue (August 2025) ✓ CB-2 ant",1000.0,"Geom Slide Title – 28 Franklin Gothic Med Header – 14 Franklin Gothic Book Content Text – 14 Franklin Gothic Book Chart Content – 10 RGB 33 – 40 – 64 20 – 135 – 211 129 – 200 – 255 205 – 217 – 225 74 – 88 – 135 Outline: black, ½ pt. 255 – 177 – 0 Lake Mariner Campus – 426 MW Critical IT • 60 MW leased by Core42 (backed by G42) ✓ ~$1.0B total contracted revenues ✓ ~$92MM average annual NOI ✓ ~85% N",,"Geom Slide Title – 28 Franklin Gothic Med Header – 14 Franklin Gothic Book Content Text – 14 Franklin Gothic Book Chart Content – 10 RGB 33 – 40 – 64 20 – 135 – 211 129 – 200 – 255 205 – 217 – 225 74 – 88 – 135 Outline: black, ½ pt. 255 – 177 – 0 WULF: The Power of Infrastructure ✓ 60 MW contracted to Core42 (online 2025/2026) ✓ 366 MW contracted to Fluidstack (expected online 2026) ✓ 168 MW Abern",,"CB-2 anticipated to come online around year-end 2025 subject to tenant fit-out requests HPC-Ready Infrastructure • Industrial-scale, high-density compute sites • Infrastructure co-located with redundant high-speed fiber, water, and access to clean power • Ability to convert existing BTC capacity for AI and HPC workloads Vertically Integrated, Geographically Diverse Scalable Platform • Flexible app",,"Geom Slide Title – 28 Franklin Gothic Med Header – 14 Franklin Gothic Book Content Text – 14 Franklin Gothic Book Chart Content – 10 RGB 33 – 40 – 64 20 – 135 – 211 129 – 200 – 255 205 – 217 – 225 74 – 88 – 135 Outline: black, ½ pt. 255 – 177 – 0 5 2025 Highlights: Disciplined Growth & Consistent Execution ✓ WULF Den generating revenue (July 2025) ✓ CB-1 generating revenue (August 2025) ✓ CB-2 ant",,"Geom Slide Title – 28 Franklin Gothic Med Header – 14 Franklin Gothic Book Content Text – 14 Franklin Gothic Book Chart Content – 10 RGB 33 – 40 – 64 20 – 135 – 211 129 – 200 – 255 205 – 217 – 225 74 – 88 – 135 Outline: black, ½ pt. 255 – 177 – 0 7 De-Risk Through Credit Enhancement Mitigate construction and counter party risk ➢ $3.2B Google lease backstop fully covers debt exposure ➢ ~$850M warra",L000108330125000096_wulfq32025investorupdate,https://www.sec.gov/Archives/edgar/data/1083301/000108330125000096/wulfq32025investorupdate.htm,REJECTED: TeraWulf periodic report or deck. Values are portfolio totals across several leases. No single lease record. | reduce_panel: REJECTED -> EXCLUDED (portfolio_total),portfolio_total,,,,,,,,,,,
P061,EXCLUDED,TERAWULF INC.,Fluidstack,,,2026-02-26,500.0,"Lake Mariner has advanced phased expansion to support hyperscale-class HPC deployments, with 39 critical IT MW HPC capacity online, more than 500 MW of near-term contracted campus capacity, and approximately 250 MW of incremental expansion potential, positioning the campus to support 750 MW of gross HPC leasing capacity",750.0,"Lake Mariner has advanced phased expansion to support hyperscale-class HPC deployments, with 39 critical IT MW HPC capacity online, more than 500 MW of near-term contracted campus capacity, and approximately 250 MW of incremental expansion potential, positioning the campus to support 750 MW of gross HPC leasing capacity",25.0,"In October 2025, TeraWulf entered into a joint-venture agreement with Fluidstack to develop the Abernathy HPC Campus in Texas, designed to support 168 critical IT MW under a 25-year lease with annual escalators",12800.0,Contracted 522 critical IT MW totaling over $12.8 billion 1 of revenue,,,,,,"During construction, the Company worked collaboratively with tenants to incorporate additional fit-out enhancements beyond original lease specifications which will optimize the tenants' deployment",,,,"TeraWulf delivered a transformational fourth quarter, achieving major commercial, operational, and financial milestones that position the Company as a leader in sustainable HPC infrastructure",L000108330126000026_a_wulfearningsrelease2026-,https://www.sec.gov/Archives/edgar/data/1083301/000108330126000026/a_wulfearningsrelease2026-.htm,REJECTED: TeraWulf periodic report or deck. Values are portfolio totals across several leases. No single lease record. | reduce_panel: REJECTED -> EXCLUDED (portfolio_total),portfolio_total,,,,,,,,,,,
