lease_id,field,value,evidence_col,evidence_needle
P231,credit_support,tenant is high investment-grade,credit_support_evidence,The lease is with a U.S. based high investment-grade hyperscaler
P233,credit_type,anticipated,,
P233,credit_support,backstop not yet finalized,credit_support_evidence,the finalization of a backstop agreement for the Lease
P237,credit_type,none_stated,,
P237,credit_support,,,
P237,credit_support_evidence,,,
P246,credit_type,none_stated,,
P246,credit_support,,,
P246,credit_support_evidence,,,
P252,credit_type,none_stated,,
P252,credit_support,,,
P252,credit_support_evidence,,,
P256,credit_type,none_stated,,
P256,credit_support,,,
P256,credit_support_evidence,,,
P271,credit_type,none_stated,,
P271,credit_support,,,
P271,credit_support_evidence,,,
P290,credit_type,none_stated,,
P290,credit_support,,,
P290,credit_support_evidence,,,
P290b,credit_type,third_party_backstop,,
P290b,credit_support,AMD,credit_support_evidence,entered into a Credit Support Agreement with respect to each Neocloud Lease
P294,credit_type,none_stated,,
P294,credit_support,,,
P294,credit_support_evidence,,,
P295,credit_type,none_stated,,
P295,credit_support,,,
P295,credit_support_evidence,,,
P315,credit_type,none_stated,,
P315,credit_support,,,
P315,credit_support_evidence,,,
P008,first_rfs,2026-09,first_rfs_evidence,by September of 2026
P012,first_rfs,2027-01,first_rfs_evidence,by January 2027
P013,first_rfs,2026-10,first_rfs_evidence,October 2026 Targeted Initial Rent Commencement Date
P014,first_rfs,2027-04,first_rfs_evidence,"initial rent targeted t o start on April 1 st , 2027"
P044,first_rfs,2026-11,first_rfs_evidence,operational during the fourth quarter of 2026
P074,first_rfs,2026-04,first_rfs_evidence,expected online in the first half of 2026
P076,first_rfs,2026-12,first_rfs_evidence,to Fluidstack by year end 2026
P081,first_rfs,2026-10,first_rfs_evidence,delivered in the second half of 2026
P087,first_rfs,2026-01,first_rfs_evidence,the first in January 2026
P092,first_rfs,2027-05,first_rfs_evidence,May 2026 May 2027 May 2027
P099,first_rfs,2027-10,first_rfs_evidence,into service during the second half of 2027
P104,first_rfs,2027-12,first_rfs_evidence,Phase 1 96 MW Delivered December 2027
P122,first_rfs,2026-07,first_rfs_evidence,expected to begin to come online in 2026
P126,first_rfs,2027-07,first_rfs_evidence,anticipated to commence in mid-2027
P128b,first_rfs,2027-07,first_rfs_evidence,initial operations expected to commence during calendar year 2027
P145,first_rfs,2027-11,first_rfs_evidence,deliveries expected to begin in Q4 2027
P178,first_rfs,2026-04,first_rfs_evidence,"Billing for the first 20 MW targeted to commence April 30, 2026"
P188,first_rfs,2026-12,first_rfs_evidence,targets Phase 1 Ready-for-Service in December 2026
P196,first_rfs,2027-02,first_rfs_evidence,"associated revenue expected to commence, in the first quarter of 2027"
P200,first_rfs,2026-12,first_rfs_evidence,"Phase 1 target commencement December 31, 2026"
P215,first_rfs,2027-07,first_rfs_evidence,ready for service in mid 2027
P231,first_rfs,2028-02,first_rfs_evidence,anticipated to commence in Q1 2028
P233,first_rfs,2027-02,first_rfs_evidence,with delivery expected in the
P271,first_rfs,2025-11,first_rfs_evidence,ready for service in the fourth quarter of calendar 2025
P294,first_rfs,2027-07,first_rfs_evidence,expected to commence in 2027
P315,first_rfs,2026-08,first_rfs_evidence,Cash payment commenced in August 2026
P100,notes,+Confirmed second lease: filing says it doubles the tenant's capacity to 704 MW under two 15-year leases; campus value $19.6B = 2 x $9.8B.,,
P094,notes,+Confirmed first of two leases at Beacon Point (see P100).,,
