doc_id,url,fetched_at_utc,method,http_status,content_type,bytes,sha256,local_file,wayback_url,error
D11,https://finance.yahoo.com/markets/stocks/articles/coreweave-q1-earnings-call-highlights-003833078.html,2026-09-24T00:51:53+00:00,direct,200,text/html; charset=utf-8,1029441,36bc88f426c9d3f5086f8c3ab76452f954eabd7ae2f772508d03fe49363502f3,D11.html,,
D12,https://finance.yahoo.com/news/coreweave-q4-earnings-call-highlights-030733529.html,2026-09-24T00:51:55+00:00,direct,200,text/html; charset=utf-8,1026319,8acecf17c06e9a085b2ed71593eb4e3cbb7eac9e48fc7c36c87af584a502afe9,D12.html,,
D13,https://www.cnbc.com/2026/02/26/coreweave-crwv-q4-earnings-report-2025.html,2026-09-24T00:51:56+00:00,direct,200,text/html; charset=utf-8,824873,0a47698146798561146867a6f910e42afc53ced499e46607473f55f77e78bb0a,D13.html,,
D14,https://futurumgroup.com/insights/coreweave-q4-fy-2025-results-highlight-backlog-growth-and-capacity-expansion/,2026-09-24T00:51:58+00:00,direct,200,text/html; charset=UTF-8,338894,f1c1c8de3a27b93f6a9bbf0ed68e852ed0418f46da142ee909571273cf39764b,D14.html,,
D15,https://www.marketbeat.com/earnings/reports/2025-8-12-coreweave-inc-class-a-common-stock--stock,2026-09-24T00:51:59+00:00,direct,200,text/html; charset=utf-8,490806,32099f3142e652979c3603754369916eca71332d196ed8ddd5e7b11d41e3b40e,D15.html,,
D16,https://www.marketbeat.com/earnings/reports/2025-11-10-coreweave-inc-class-a-common-stock--stock/,2026-09-24T00:52:01+00:00,direct,200,text/html; charset=utf-8,515181,00db6f72e79e799ae13044f2df0003f8d391cb2e4c5bff0f67c9bf53bb699133,D16.html,,
D17,https://convergedigest.com/coreweave-q2-capex-hits-record-2-9b-as-ai-data-center-buildout-accelerates/,2026-09-24T00:52:03+00:00,direct,200,text/html; charset=UTF-8,186130,e9f7597df84bd7dc2e874789dfb32e6dd72b93fe5be1d416270f892addd2646e,D17.html,,
D18,https://fintool.com/app/research/companies/CRWV/earnings/Q1 2025,2026-09-24T00:52:04+00:00,direct,200,text/html,201253,5965b2c5472aaca1cd66ea5b0d07a971b961fee72fc27eb1f6c760042084b21b,D18.html,,
D19,https://beancount.io/it/blog/2026/07/10/gpu-cloud-depreciation-schedules-guide,2026-09-24T00:52:05+00:00,direct,200,text/html; charset=utf-8,188316,980d54dde954c7b2508b6f23cec41338831a567b6b296fe1b4a01089465ece46,D19.html,,
D20,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000104/crwv-20251231.htm,2026-09-24T00:52:08+00:00,direct,200,text/html,2792144,379705c11a9b4524b00b9e535578a49fa4d494fda98b6a5eef390e30c2234968,D20.html,,
D21,https://247wallst.com/investing/2026/05/07/live-will-coreweave-beat-q1-earnings-tonight/,2026-09-24T00:52:08+00:00,direct,200,text/html; charset=UTF-8,347490,d40f84fd68ee0c37be0e4b91a61084b1e14547c1e8a7b4eb20aae69599b45d07,D21.html,,
D22,https://convergedigest.com/coreweave-expands-ai-cloud-infrastructure-to-2-9-gw-triples-revenue/,2026-09-24T00:52:10+00:00,direct,200,text/html; charset=UTF-8,188328,5df00dd5618992e8c5fbada1ea15fbf124f5c45478a234de265659133e954d42,D22.html,,
D23,https://www.sec.gov/Archives/edgar/data/1769628/000119312525058309/d899798ds1a.htm,2026-09-24T00:52:11+00:00,direct,200,text/html,3259372,77c7a5e83bac2cf417b04b7d4255ce543c7f80324df8101c377bf41c794601d4,D23.html,,
D24,https://www.sec.gov/Archives/edgar/data/0001839341/000183934126000012/q2fy26earningsdeck728am.htm,2026-09-24T00:52:12+00:00,direct,200,text/html,18338,67ee679a627b3e48b8ee714fb623e057a4e7436ce0a885d955936fc3cad97b4a,D24.html,,
D25,https://www.sec.gov/Archives/edgar/data/0001839341/000162828026031246/q1fy26earningsdeck.htm,2026-09-24T00:52:12+00:00,direct,200,text/html,20819,92828a0360eaee564b690860b9e14eb5b543b1ec2166127f09bbe27c76852a26,D25.html,,
D26,https://www.fool.com/earnings/call-transcripts/2026/05/06/core-scientific-corz-q1-2026-earnings-transcript/,2026-09-24T00:52:13+00:00,direct,200,text/html; charset=utf-8,474099,05597b80a37b9fa6c825eb64cf9a9ad39fe7eb0395d96c5bddf7e96af350cc9a,D26.html,,
D27,https://www.sec.gov/Archives/edgar/data/1144879/000149315225012458/ex99-1.htm,2026-09-24T00:52:14+00:00,direct,200,text/html,17574,2ca9f9ccade9b766a42ea9bc98f3c8c65babf0fb2e6141a75d1c4fb890be70a9,D27.html,,
D28,https://ir.applieddigital.com/news-events/press-releases/detail/133/applied-digital-achieves-ready-for-service-for-phase-1-at,2026-09-24T00:52:14+00:00,direct,200,text/html; charset=UTF-8,30047,fe957c749ccf27ed4298a33d624fc1cbdee895f05281fcafa9dd14d57b5fe72c,D28.html,,
D29,https://www.prnewswire.com/news-releases/galaxy-completes-phase-i-of-its-helios-data-center-campus-delivering-133-megawatts-of-critical-it-load-to-coreweave-302818664.html,2026-09-24T00:52:16+00:00,direct,200,text/html; charset=UTF-8,215896,82eb4a7bac9868d5109e7318778a212346ea353165a8f5153f4004ae63d73e96,D29.html,,
D30,https://www.proteinreport.org/data/series/us-industrial-electricity-price,2026-09-24T00:52:17+00:00,direct,200,text/html; charset=utf-8,207123,60f7b12b66334a6e1654187e60e64f5eee873f4cb1b8ca9587b029c5d23ff9cd,D30.html,,
D31,https://investors.corescientific.com/sec-filings/all-sec-filings/content/0001628280-25-023161/exhibit992-q12025earning.htm,2026-09-24T00:52:18+00:00,direct,200,text/html; charset=UTF-8,49123,c60797c03ffb44c68cd5b9729927f98b22cadeb11213e6abfaff761a90786611,D31.html,,
D32,https://cryptobriefing.com/galaxy-digital-coreweave-200mw-helios-lease/,2026-09-24T00:52:19+00:00,direct,200,text/html; charset=UTF-8,298698,db67967203ddaa199df7493682ef0fc91e80243202216de0147c6d9541d0451c,D32.html,,
D33,https://www.sec.gov/Archives/edgar/data/1769628/000176962825000010/coreweave1q25earningspress.htm,2026-09-24T00:52:21+00:00,direct,200,text/html,253925,86eab82772eaf42857f149eb630e68939fb4de1a5cc06527ff782b093c3a58e9,D33.html,,
XBRL,https://data.sec.gov/api/xbrl/companyfacts/CIK0001769628.json,2026-09-24T01:12:09+00:00,direct,200,application/json,501063,c0af16143fd615e9d4d3066226d81722fcbb49de9ee4125f038b1f47e285026f,xbrl/companyfacts.json,,
